Year	Age	Croatia	Lithuania	Slovakia	SouthKorea	Sweden
15	2	0.019871096	0.029679634	0.025650007	0.013032629	0.015169741
15	3	0.071629458	0.066940119	0.07203235	0.040784303	0.044506468
15	4	0.18893388	0.194486605	0.172612037	0.131536057	0.164170429
16	1	0.003054827	0.005166054	0.003714188	0.001925122	0.001694102
16	2	0.025390845	0.02629841	0.024412507	0.012564364	0.015122037
16	3	0.06694666	0.055825534	0.07181274	0.04148671	0.042014106
16	4	0.18893388	0.185754553	0.168350011	0.139320811	0.153657051
17	1	0.00322247	0.00527368	0.003591742	0.001952112	0.001576105
17	2	0.023550928	0.027237639	0.020812506	0.01345036	0.013357004
17	3	0.067466971	0.060119805	0.063467528	0.042583847	0.042815222
17	4	0.179384875	0.158764575	0.167639674	0.129425318	0.141324051
18	1	0.003296978	0.005085334	0.003306035	0.001748805	0.001618247
18	2	0.021956334	0.025734873	0.021037506	0.012681906	0.013643226
18	3	0.065732602	0.058856784	0.059075312	0.039057947	0.03729642
18	4	0.186205593	0.184166908	0.178294738	0.12889343	0.152241789
19	1	0.002980319	0.004735549	0.003414876	0.001858136	0.001938524
19	2	0.021343029	0.028176868	0.024300007	0.012684959	0.012450636
19	3	0.059662309	0.061382826	0.048973214	0.039331337	0.039966808
19	4	0.166425511	0.150826347	0.152722584	0.127593283	0.146176379
20	1	0.003296978	0.005435119	0.003333245	0.00183813	0.001643532
20	2	0.020729723	0.023105032	0.023062506	0.012307335	0.013261597
20	3	0.065559165	0.062393243	0.059734144	0.03777458	0.040144834
20	4	0.150737861	0.180197793	0.174032712	0.12575955	0.149613445
21	1	0.003203843	0.005596558	0.003605347	0.001817194	0.001626675
21	2	0.020607062	0.028176868	0.019912505	0.012922702	0.013118486
21	3	0.050470151	0.058098972	0.057757647	0.040583459	0.042993248
21	4	0.150055789	0.150032524	0.149170896	0.127174851	0.135056461
22	1	0.003390113	0.005623465	0.003659767	0.001831151	0.001626675
22	2	0.019993757	0.028740405	0.021600006	0.012976212	0.013213894
22	3	0.066426349	0.063151056	0.066981301	0.038888446	0.040589899
22	4	0.18143109	0.186548376	0.173322374	0.121311463	0.137684805
23	1	0.003352859	0.005246773	0.003795818	0.00179137	0.00160139
23	2	0.02036174	0.023480723	0.023287506	0.011455685	0.012736858
23	3	0.065732602	0.058351576	0.065004804	0.038952772	0.041034964
23	4	0.184841449	0.147651055	0.152722584	0.117014493	0.138089166
24	1	0.003259724	0.004950801	0.003646162	0.001783698	0.001415966
24	2	0.018399163	0.028364714	0.019462505	0.013243763	0.013404708
24	3	0.056020133	0.051026053	0.057538036	0.038162012	0.038631614
24	4	0.150055789	0.165115159	0.13922617	0.120098349	0.141930592
25	1	0.003352859	0.005354399	0.00337406	0.001698065	0.001390681
25	2	0.022201656	0.020099499	0.023175006	0.012595049	0.011925897
25	3	0.053765453	0.051278657	0.054902706	0.037871397	0.039343718
25	4	0.138460569	0.143681941	0.141357182	0.113814056	0.13424774
26	1	0.003166589	0.005946343	0.003891054	0.001846316	0.001727815
26	2	0.021588351	0.030618863	0.021825006	0.012676614	0.014549594
26	3	0.064171669	0.06340366	0.061051809	0.037530448	0.041034964
26	4	0.18893388	0.150032524	0.165508661	0.109340549	0.140110969
27	1	0.003147962	0.005354399	0.003333245	0.001849783	0.001567676
27	2	0.024777539	0.027049793	0.022275006	0.012350565	0.013118486
27	3	0.065385728	0.054815117	0.067200912	0.035456927	0.039343718
27	4	0.173928301	0.156383107	0.176163725	0.120616304	0.130406313
28	1	0.003725399	0.004547203	0.00331964	0.001722976	0.001592961
28	2	0.025513506	0.024232106	0.023737506	0.011830562	0.013595522
28	3	0.063998232	0.049763032	0.052047765	0.0372817	0.034626032
28	4	0.18143109	0.150826347	0.15982596	0.11276773	0.133439018
29	1	0.003539129	0.005139147	0.003659767	0.001715309	0.00160139
29	2	0.027230761	0.026861947	0.026212507	0.011665213	0.012259822
29	3	0.077699751	0.0538047	0.076204956	0.036491213	0.036495304
29	4	0.248956195	0.134949889	0.196763515	0.109786874	0.136067363
30	1	0.003650891	0.005031521	0.003510111	0.001904203	0.001407537
30	2	0.021220368	0.030994555	0.018000005	0.011975847	0.014454187
30	3	0.055152948	0.048752615	0.052926209	0.038338843	0.039521744
30	4	0.155512363	0.140506649	0.134253806	0.113641194	0.134854281
31	1	0.00359501	0.005784904	0.003836633	0.001816271	0.00155082
31	2	0.02256964	0.02761333	0.025425007	0.012310358	0.012212118
31	3	0.067813845	0.06037241	0.061710642	0.036159379	0.037652472
31	4	0.184159377	0.169878096	0.159115622	0.117281061	0.132630297
32	1	0.003278351	0.005623465	0.003564532	0.001679021	0.001559248
32	2	0.023182945	0.025922718	0.027225007	0.011451173	0.0119736
32	3	0.067640408	0.050015636	0.071153907	0.037290291	0.037563459
32	4	0.208713961	0.163527513	0.202446216	0.11069671	0.135056461
33	1	0.003147962	0.00527368	0.003714188	0.001754861	0.001592961
33	2	0.018399163	0.02141442	0.018787505	0.012551256	0.013404708
33	3	0.049429529	0.049763032	0.057318425	0.03746686	0.036406291
33	4	0.150055789	0.11589814	0.150591571	0.111720651	0.137280445
34	1	0.003725399	0.004870082	0.00323801	0.001746251	0.001609818
34	2	0.020852384	0.023480723	0.023850006	0.012041544	0.011401157
34	3	0.052551394	0.051026053	0.057538036	0.035409645	0.035249123
34	4	0.171882085	0.150826347	0.152722584	0.110531075	0.125958346
35	1	0.003092081	0.004843175	0.003469296	0.001751815	0.001854241
35	2	0.020484401	0.021790111	0.021712506	0.011840818	0.013690929
35	3	0.058101376	0.0538047	0.057098814	0.038388305	0.037385433
35	4	0.163015152	0.146857232	0.149170896	0.1197309	0.144356756
36	1	0.003147962	0.004923895	0.00337406	0.001781363	0.00165196
36	2	0.020975046	0.023480723	0.021600006	0.012484306	0.013404708
36	3	0.057407628	0.044458343	0.054243874	0.037515432	0.039076679
36	4	0.160286865	0.130980775	0.151301909	0.116574169	0.127373608
37	1	0.003334232	0.005058427	0.003428481	0.001825569	0.001626675
37	2	0.024286895	0.026861947	0.022725006	0.012414355	0.011591972
37	3	0.067813845	0.050015636	0.061930252	0.038210441	0.03880964
37	4	0.196436669	0.157970753	0.182556763	0.115852447	0.138493527
38	1	0.003110708	0.004735549	0.003387666	0.001740431	0.001500249
38	2	0.023673589	0.024795644	0.021487506	0.012467865	0.013929447
38	3	0.052377957	0.058351576	0.060612588	0.038113583	0.038453589
38	4	0.154148219	0.145269587	0.159115622	0.120603813	0.145165477
39	1	0.003390113	0.004843175	0.003564532	0.001759971	0.001626675
39	2	0.02036174	0.02629841	0.021600006	0.012802304	0.01450189
39	3	0.058101376	0.055067721	0.051169322	0.041188821	0.038987666
39	4	0.161651009	0.158764575	0.150591571	0.123535507	0.142334953
40	1	0.002645033	0.004305045	0.003360455	0.001760622	0.001559248
40	2	0.021833673	0.027989022	0.021600006	0.012352792	0.01316619
40	3	0.05844825	0.055067721	0.052706598	0.039881822	0.038542602
40	4	0.173928301	0.165908981	0.169060349	0.125364902	0.127171428
41	1	0.002831303	0.006188502	0.003455691	0.001846953	0.001500249
41	2	0.021220368	0.028176868	0.022387506	0.014089726	0.012689154
41	3	0.06070293	0.065929702	0.059953755	0.040082002	0.036495304
41	4	0.18143109	0.171465742	0.171191362	0.133355783	0.141930592
42	1	0.003390113	0.006134689	0.003428481	0.001810432	0.001441251
42	2	0.017908518	0.029679634	0.020025005	0.012991321	0.013023079
42	3	0.066252912	0.061635431	0.059734144	0.038823515	0.042103119
42	4	0.159604794	0.177022502	0.160536298	0.135503715	0.157094117
43	1	0.003576383	0.005327493	0.003578137	0.001748075	0.001508678
43	2	0.020239079	0.030806709	0.023850006	0.012352187	0.013643226
43	3	0.058101376	0.062393243	0.066322469	0.039388372	0.040055821
43	4	0.174610373	0.156383107	0.168350011	0.126114634	0.149006904
44	1	0.003315605	0.004681736	0.003904659	0.001794863	0.001542391
44	2	0.023428267	0.024232106	0.023962506	0.013390916	0.012593747
44	3	0.064345106	0.059614597	0.057757647	0.042690119	0.039610757
44	4	0.178702803	0.156383107	0.168350011	0.133038238	0.152241789
45	1	0.003296978	0.006134689	0.003537321	0.00180882	0.001390681
45	2	0.020607062	0.027237639	0.020025005	0.012039784	0.01383404
45	3	0.057754502	0.056078138	0.059514533	0.039251663	0.040500886
45	4	0.184841449	0.171465742	0.178294738	0.139811461	0.159520281
46	1	0.002868557	0.004601016	0.003618952	0.001771342	0.001525534
46	2	0.020729723	0.026861947	0.023962506	0.012830835	0.014645001
46	3	0.060009182	0.055320325	0.053804652	0.039671202	0.040856938
46	4	0.178702803	0.172259564	0.160536298	0.130347705	0.144963297
47	1	0.003445994	0.004654829	0.002897883	0.001829954	0.001660388
47	2	0.020852384	0.025359181	0.021712506	0.013299173	0.013786337
47	3	0.060182619	0.060119805	0.062589085	0.040543158	0.041569041
47	4	0.169153798	0.16829045	0.163377648	0.129639021	0.147389461
48	1	0.003017573	0.00457411	0.003673372	0.001821381	0.001609818
48	2	0.024532217	0.027425485	0.019575005	0.013016345	0.014263372
48	3	0.063824795	0.061382826	0.061710642	0.040196028	0.042370158
48	4	0.16983587	0.177816325	0.151301909	0.140620204	0.168416216
49	1	0.00340874	0.004896988	0.003224405	0.001766949	0.001458108
49	2	0.019748435	0.025547027	0.023287506	0.013176875	0.012927672
49	3	0.057060754	0.056078138	0.061930252	0.042060542	0.040856938
49	4	0.186205593	0.184166908	0.154853597	0.135969932	0.153252691
50	1	0.003073454	0.00519296	0.003999894	0.001755016	0.001862669
50	2	0.021343029	0.02629841	0.023062506	0.012713973	0.013118486
50	3	0.059141998	0.053552096	0.061491031	0.040147346	0.040055821
50	4	0.174610373	0.190517491	0.152722584	0.133558096	0.160935543
51	1	0.003390113	0.005569651	0.00412234	0.00178928	0.001508678
51	2	0.023918912	0.026674102	0.023062506	0.012989589	0.013309301
51	3	0.066252912	0.075276059	0.061710642	0.041091963	0.043082261
51	4	0.184159377	0.176228679	0.161956973	0.125860643	0.159318101
52	1	0.003520502	0.006215408	0.003482901	0.001842774	0.001567676
52	2	0.022324317	0.032873012	0.025425007	0.012671402	0.015837591
52	3	0.063304484	0.061382826	0.062808696	0.042164908	0.046820805
52	4	0.205985674	0.194486605	0.182556763	0.133760049	0.174683806
53	1	0.003283686	0.005403179	0.003672378	0.001797098	0.001779746
53	2	0.022013355	0.028264314	0.024806099	0.012582898	0.014019663
53	3	0.075274843	0.067036245	0.067201504	0.04233194	0.045019747
53	4	0.20694062	0.17319063	0.174586166	0.128012035	0.16527597
54	1	0.003378045	0.005650024	0.00306945	0.001878777	0.001529078
54	2	0.022497165	0.034105605	0.021799299	0.012053752	0.013878998
54	3	0.066255737	0.067542179	0.058801316	0.042438852	0.050264766
54	4	0.182289386	0.184685583	0.161577785	0.133065912	0.171286005
55	1	0.003642249	0.006637407	0.003562755	0.001870638	0.001863303
55	2	0.025520978	0.032221318	0.022121457	0.013147673	0.014722991
55	3	0.070418401	0.066277345	0.061601379	0.040249887	0.044757496
55	4	0.170612486	0.197713197	0.180748031	0.136011606	0.180301058
56	1	0.003661121	0.005074051	0.003480538	0.001798059	0.001896725
56	2	0.025762883	0.031656032	0.022336228	0.013290709	0.014582326
56	3	0.073366955	0.075131188	0.060524432	0.042736267	0.050264766
56	4	0.183586819	0.194647876	0.162947088	0.137194896	0.177696709
57	1	0.003189327	0.005677452	0.003644972	0.001877385	0.00175468
57	2	0.021045735	0.031467603	0.023947014	0.01327755	0.014394772
57	3	0.063480628	0.064506576	0.063755273	0.042095681	0.044407828
57	4	0.197858586	0.214572462	0.171162908	0.138790186	0.175693364
58	1	0.002868507	0.00559517	0.003809407	0.00188156	0.001704546
58	2	0.022013355	0.03184446	0.022550999	0.014580303	0.015801427
58	3	0.072846622	0.064506576	0.063324495	0.043582757	0.044232994
58	4	0.197858586	0.195414206	0.170478256	0.141699243	0.156461251
59	1	0.003661121	0.005759734	0.003233885	0.002019551	0.001729613
59	2	0.018989543	0.0288296	0.027061199	0.014055608	0.014488549
59	3	0.064000961	0.065518444	0.067847673	0.044734311	0.041348233
59	4	0.171909919	0.161695677	0.160893133	0.144737866	0.16928266
60	1	0.003585634	0.00589687	0.003535349	0.001958492	0.001662768
60	2	0.020682878	0.029018029	0.024591328	0.014083672	0.014066552
60	3	0.06157274	0.066024378	0.058801316	0.045016711	0.044232994
60	4	0.171261203	0.17395696	0.173216863	0.145149899	0.166878646
61	1	0.002887379	0.006472843	0.003370914	0.002041796	0.00175468
61	2	0.022618118	0.022611451	0.023087928	0.014016081	0.015098099
61	3	0.065215071	0.057423501	0.060524432	0.045764194	0.045369415
61	4	0.171909919	0.183919253	0.169793605	0.143517939	0.159866938
62	1	0.002925123	0.006143716	0.003782001	0.001855317	0.001470589
62	2	0.026004788	0.028075885	0.023517471	0.013568774	0.014394772
62	3	0.066429181	0.052617129	0.059447485	0.041348037	0.040648897
62	4	0.186830403	0.181620262	0.160208482	0.137326173	0.170885336
63	1	0.003189327	0.005732306	0.003795704	0.001897521	0.001595923
63	2	0.02322288	0.026756884	0.025020871	0.012716112	0.015660761
63	3	0.061225851	0.060459104	0.059232095	0.04320915	0.043795909
63	4	0.20499447	0.179321272	0.165001043	0.130298643	0.153255899
64	1	0.003189327	0.004909487	0.003960139	0.001865509	0.001637701
64	2	0.022134308	0.026380026	0.023947014	0.013137417	0.014347883
64	3	0.062266517	0.05413493	0.0611706	0.0395476	0.041260816
64	4	0.190073986	0.175489621	0.152677314	0.136214035	0.161870283
65	1	0.003604506	0.005238615	0.003809407	0.001849551	0.001462233
65	2	0.027819075	0.031090745	0.021691914	0.012698549	0.013878998
65	3	0.06278685	0.061976906	0.056432033	0.040860264	0.042746905
65	4	0.193966286	0.167826318	0.171162908	0.132033666	0.161669948
66	1	0.003132712	0.005458033	0.00372719	0.0018961	0.001579212
66	2	0.022860023	0.024872596	0.024161785	0.013177447	0.013410113
66	3	0.064694738	0.057423501	0.060309042	0.038709984	0.041348233
66	4	0.174504786	0.17395696	0.158839178	0.128480471	0.150250881
67	1	0.003566762	0.004964342	0.003384617	0.001770452	0.001629345
67	2	0.022013355	0.026003169	0.0202959	0.011792158	0.013691444
67	3	0.056889743	0.064506576	0.062462937	0.039381035	0.04056148
67	4	0.171909919	0.17395696	0.160893133	0.117522956	0.162070617
68	1	0.00300061	0.00559517	0.003603864	0.001837026	0.001771391
68	2	0.01838478	0.026756884	0.024806099	0.012645912	0.014347883
68	3	0.058277297	0.05995317	0.059447485	0.039304554	0.042397237
68	4	0.183586819	0.157864025	0.157469875	0.128749246	0.152053892
69	1	0.002811892	0.004717496	0.003192777	0.001823533	0.001403744
69	2	0.021408593	0.023930452	0.021799299	0.012030769	0.013128782
69	3	0.061399296	0.06248284	0.060524432	0.038038842	0.039687311
69	4	0.165422752	0.1724243	0.180063379	0.11924877	0.13863148
70	1	0.003264814	0.00488206	0.003521646	0.001884343	0.001646057
70	2	0.023827643	0.023365166	0.023839628	0.011685297	0.012472343
70	3	0.06278685	0.058182402	0.062893716	0.040700117	0.036103214
70	4	0.173856069	0.175489621	0.165001043	0.123869537	0.146845195
71	1	0.003038353	0.005293469	0.003590161	0.001831687	0.001587567
71	2	0.019715258	0.02581474	0.023410085	0.011607861	0.013269447
71	3	0.057930409	0.053628996	0.060524432	0.03862586	0.03767672
71	4	0.163476602	0.161695677	0.151992662	0.123436037	0.135225793
72	1	0.003472404	0.004854633	0.00306945	0.001729866	0.001345254
72	2	0.021892403	0.026568455	0.021906685	0.012159025	0.012472343
72	3	0.061399296	0.051352294	0.055355085	0.038686846	0.039337643
72	4	0.172558636	0.150967053	0.16363174	0.120303596	0.136628135
73	1	0.003208199	0.005211187	0.003535349	0.001778575	0.001520722
73	2	0.02612574	0.02732217	0.023517471	0.012198502	0.012753674
73	3	0.060185185	0.068807014	0.063539884	0.038778358	0.035666129
73	4	0.171261203	0.154798705	0.152677314	0.118989828	0.136828469
74	1	0.002849636	0.00589687	0.003562755	0.001713166	0.001478944
74	2	0.02177145	0.026191598	0.023517471	0.012145866	0.011956569
74	3	0.059317963	0.058941303	0.055139696	0.036879477	0.037414469
74	4	0.186181686	0.193115216	0.164316391	0.1142978	0.134825124
75	1	0.002717533	0.005074051	0.003247588	0.001714998	0.001395388
75	2	0.01983621	0.024872596	0.019866357	0.012175122	0.011206353
75	3	0.057236631	0.0566646	0.049970349	0.036360462	0.03216945
75	4	0.170612486	0.13870577	0.15130801	0.108586403	0.135626462
76	1	0.002774149	0.00447065	0.003028342	0.001716187	0.001520722
76	2	0.021166688	0.019031305	0.021477142	0.011937007	0.011487684
76	3	0.058450742	0.053123062	0.053847359	0.035628635	0.040124396
76	4	0.155043286	0.141771091	0.147200101	0.115458466	0.129816762
77	1	0.00311384	0.005074051	0.00363127	0.00171083	0.001445522
77	2	0.020682878	0.027510599	0.026309499	0.011912052	0.012988116
77	3	0.064347849	0.052111195	0.061816768	0.035445024	0.036889967
77	4	0.171261203	0.163228337	0.173901514	0.119847666	0.137229138
78	1	0.002943994	0.006280852	0.003137965	0.001806861	0.001437166
78	2	0.02128764	0.024684167	0.019114657	0.011596118	0.013410113
78	3	0.058277297	0.063494708	0.054924306	0.036131532	0.038288639
78	4	0.151150986	0.185451913	0.158839178	0.115718421	0.126811744
79	1	0.003057225	0.00458036	0.002987233	0.001706425	0.001579212
79	2	0.017054303	0.025437882	0.0210476	0.011357954	0.012519231
79	3	0.056716298	0.049834492	0.060524432	0.036201042	0.033568122
79	4	0.155043286	0.141771091	0.141722888	0.11020305	0.140234156
80	1	0.002981738	0.004799778	0.003507943	0.001739608	0.001529078
80	2	0.019957163	0.025437882	0.021369757	0.012040593	0.012331677
80	3	0.059491408	0.049581525	0.062678326	0.037062502	0.038725724
80	4	0.156340719	0.127210817	0.141038236	0.114673162	0.142237501
81	1	0.002943994	0.005814588	0.003233885	0.001717341	0.001378677
81	2	0.020561925	0.022988309	0.022765771	0.01148791	0.012331677
81	3	0.053767745	0.052111195	0.056862811	0.035026352	0.040036979
81	4	0.168017619	0.1394721	0.150623359	0.108292004	0.144441181
82	1	0.003378045	0.005814588	0.003247588	0.001855591	0.001813169
82	2	0.022497165	0.028641171	0.019329428	0.011398573	0.011675238
82	3	0.053767745	0.056917567	0.060093653	0.037549978	0.038725724
82	4	0.171909919	0.147901733	0.160208482	0.120691611	0.142838505
83	1	0.003057225	0.004744923	0.003165371	0.001653324	0.001495655
83	2	0.018747638	0.020350306	0.019973742	0.010987864	0.011909681
83	3	0.056022521	0.051352294	0.05341658	0.036353281	0.034879376
83	4	0.148556119	0.155565035	0.15952383	0.115142365	0.147045529
84	1	0.002925123	0.004498078	0.003274994	0.001748615	0.001270054
84	2	0.017780018	0.023930452	0.020940214	0.012505881	0.014019663
84	3	0.049778525	0.053628996	0.049108792	0.038221189	0.036540299
84	4	0.136230502	0.121846505	0.143092191	0.120539346	0.139032149
85	1	0.002925123	0.005348324	0.002932421	0.001805017	0.001520722
85	2	0.021892403	0.024495739	0.024698714	0.011909002	0.012378566
85	3	0.062093073	0.052111195	0.057078201	0.03660494	0.036190631
85	4	0.149853552	0.13717311	0.149254056	0.12602787	0.140634825
86	1	0.003245942	0.005293469	0.003220182	0.001836072	0.001529078
86	2	0.022013355	0.023930452	0.022765771	0.011425388	0.010737468
86	3	0.056542854	0.052364162	0.054924306	0.037809122	0.037589303
86	4	0.173207353	0.17472329	0.138299629	0.121033985	0.143239174
87	1	0.003094968	0.005019196	0.003357211	0.001852568	0.001662768
87	2	0.02080383	0.026191598	0.021154985	0.011805408	0.013316336
87	3	0.05636941	0.055146798	0.055355085	0.036910036	0.041610484
87	4	0.158286869	0.145602742	0.156785224	0.117897872	0.143840177
88	1	0.002962866	0.00488206	0.003370914	0.001810584	0.001378677
88	2	0.021408593	0.022234594	0.025128257	0.010724681	0.013644555
88	3	0.054288078	0.052617129	0.052555023	0.03708538	0.035403878
88	4	0.160881736	0.153266044	0.149254056	0.120303596	0.137028804
89	1	0.003283686	0.004662641	0.003179074	0.001704816	0.001303476
89	2	0.020440973	0.020350306	0.024161785	0.012014275	0.011956569
89	3	0.057236631	0.05413493	0.064832221	0.036490549	0.039250226
89	4	0.148556119	0.120313845	0.158839178	0.114673162	0.134023786
90	1	0.003264814	0.004854633	0.003453132	0.001850943	0.001445522
90	2	0.020561925	0.026568455	0.024054399	0.011961638	0.012753674
90	3	0.054114633	0.059700203	0.052985802	0.037931869	0.035753546
90	4	0.141420235	0.131042468	0.147200101	0.119083669	0.133823452
91	1	0.003566762	0.005485461	0.003343509	0.001763474	0.001478944
91	2	0.022497165	0.024872596	0.024698714	0.012818667	0.013363224
91	3	0.061399296	0.04831669	0.058585927	0.040730757	0.036715133
91	4	0.178397086	0.167059988	0.168424301	0.123435932	0.143038839
92	1	0.003076097	0.005348324	0.003617567	0.001823318	0.001737968
92	2	0.019957163	0.02581474	0.025450414	0.011910535	0.011581461
92	3	0.061919629	0.055146798	0.060524432	0.03972432	0.039862145
92	4	0.175153503	0.160163016	0.166370346	0.125969549	0.134825124
93	1	0.003227071	0.005869443	0.003083153	0.001735884	0.001529078
93	2	0.021892403	0.026003169	0.022014071	0.012306863	0.013738332
93	3	0.065388515	0.057423501	0.060739821	0.039685899	0.036540299
93	4	0.188127836	0.163994667	0.18896385	0.126005083	0.152454561
94	1	0.002943994	0.004854633	0.00349424	0.001814974	0.001462233
94	2	0.018142875	0.032221318	0.024054399	0.0120817	0.013128782
94	3	0.057756964	0.055399765	0.067201504	0.038374159	0.040823731
94	4	0.19526372	0.186984574	0.186909895	0.125876245	0.164073962
95	1	0.003415788	0.005293469	0.003740893	0.001834455	0.001420455
95	2	0.021045735	0.026945313	0.022765771	0.012713395	0.011909681
95	3	0.055675632	0.053628996	0.066124557	0.039197882	0.039337643
95	4	0.187479119	0.197713197	0.181432682	0.123060236	0.148247536
96	1	0.003094968	0.004854633	0.004001248	0.001798253	0.001587567
96	2	0.02128764	0.029018029	0.022658385	0.012002742	0.011862792
96	3	0.05879763	0.056158666	0.055785864	0.040043967	0.041523067
96	4	0.187479119	0.183919253	0.179378727	0.141362661	0.158063927
97	1	0.003208199	0.005293469	0.003425726	0.001684367	0.001295121
97	2	0.021529545	0.031656032	0.021477142	0.011569476	0.012613008
97	3	0.064174405	0.062735807	0.063109105	0.041760038	0.04405816
97	4	0.180991953	0.162462007	0.181432682	0.135333104	0.156661586
98	1	0.003302558	0.005238615	0.003466835	0.001832851	0.001478944
98	2	0.021650498	0.02581474	0.023839628	0.012474844	0.014394772
98	3	0.058624186	0.05995317	0.062462937	0.039258798	0.043446241
98	4	0.186181686	0.179321272	0.19717967	0.138320983	0.157062255
99	1	0.003227071	0.004607787	0.003850516	0.001725691	0.001420455
99	2	0.020440973	0.027699028	0.022980542	0.01208007	0.013597667
99	3	0.05879763	0.057929435	0.063109105	0.039418945	0.04056148
99	4	0.20888677	0.17395696	0.194441063	0.134755042	0.154658241
100	1	0.003189327	0.005430606	0.003562755	0.001853938	0.001545789
100	2	0.020682878	0.025249454	0.026202114	0.011963116	0.01444166
100	3	0.058971075	0.051099327	0.063539884	0.04116529	0.041260816
100	4	0.188776553	0.163994667	0.175270818	0.140516318	0.164474631
101	1	0.002962866	0.004662641	0.003329806	0.001799855	0.0014873
101	2	0.0241905	0.02581474	0.025128257	0.011648729	0.013785221
101	3	0.069377735	0.057929435	0.055570475	0.042363068	0.045369415
101	4	0.200453453	0.163994667	0.162262437	0.135391618	0.16928266
102	1	0.003472404	0.005128906	0.00349424	0.001916563	0.001303476
102	2	0.025520978	0.025437882	0.023839628	0.01256842	0.014816768
102	3	0.073540399	0.058182402	0.066770726	0.041691611	0.044145577
102	4	0.217320087	0.155565035	0.183486637	0.137513493	0.174892026
103	1	0.004057428	0.005704879	0.003768299	0.001869219	0.001612634
